,name,link
72,      69. Palais Khum,https://www.tripadvisor.com/Hotel_Review-g293734-d5970938-Reviews-Palais_Khum-Marrakech_Marrakech_Safi.html
73,      70. Royal Mansour Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d1676197-Reviews-Royal_Mansour_Marrakech-Marrakech_Marrakech_Safi.html
74,      71. Riad Infinity Sea,https://www.tripadvisor.com/Hotel_Review-g293734-d1672590-Reviews-Riad_Infinity_Sea-Marrakech_Marrakech_Safi.html
75,      72. Riad Mandalay,https://www.tripadvisor.com/Hotel_Review-g293734-d651165-Reviews-Riad_Mandalay-Marrakech_Marrakech_Safi.html
76,      73. Riad Kniza,https://www.tripadvisor.com/Hotel_Review-g293734-d482810-Reviews-Riad_Kniza-Marrakech_Marrakech_Safi.html
77,      74. Riad le Coq Berbere,https://www.tripadvisor.com/Hotel_Review-g293734-d1556718-Reviews-Riad_le_Coq_Berbere-Marrakech_Marrakech_Safi.html
78,      75. 2Ciels Luxury Boutique Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g293734-d10171259-Reviews-2Ciels_Luxury_Boutique_Hotel_Spa-Marrakech_Marrakech_Safi.html
79,      76. Palais Sebban,https://www.tripadvisor.com/Hotel_Review-g293734-d624044-Reviews-Palais_Sebban-Marrakech_Marrakech_Safi.html
80,      77. Ibis Marrakech Centre Gare,https://www.tripadvisor.com/Hotel_Review-g293734-d299643-Reviews-Ibis_Marrakech_Centre_Gare-Marrakech_Marrakech_Safi.html
81,      78. Riad Jona,https://www.tripadvisor.com/Hotel_Review-g293734-d649493-Reviews-Riad_Jona-Marrakech_Marrakech_Safi.html
82,      79. Mogador Hotels & Resorts,https://www.tripadvisor.com/Hotel_Review-g293734-d634789-Reviews-Mogador_Hotels_Resorts-Marrakech_Marrakech_Safi.html
83,      80. Riad Touda,https://www.tripadvisor.com/Hotel_Review-g293734-d19507746-Reviews-Riad_Touda-Marrakech_Marrakech_Safi.html
84,      81. Riad de la Belle Epoque,https://www.tripadvisor.com/Hotel_Review-g293734-d1942428-Reviews-Riad_de_la_Belle_Epoque-Marrakech_Marrakech_Safi.html
85,      82. ibis Marrakech Palmeraie Hotel,https://www.tripadvisor.com/Hotel_Review-g293734-d627810-Reviews-Ibis_Marrakech_Palmeraie_Hotel-Marrakech_Marrakech_Safi.html
86,      83. Hotel Almas,https://www.tripadvisor.com/Hotel_Review-g293734-d2138932-Reviews-Hotel_Almas-Marrakech_Marrakech_Safi.html
87,      84. L’Oliveraie de l’Atlas,https://www.tripadvisor.com/Hotel_Review-g293734-d15610658-Reviews-L_Oliveraie_de_l_Atlas-Marrakech_Marrakech_Safi.html
88,      85. Kech Boutique Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g293734-d5303013-Reviews-Kech_Boutique_Hotel_Spa-Marrakech_Marrakech_Safi.html
89,      86. Hotel Le Caspien,https://www.tripadvisor.com/Hotel_Review-g293734-d584783-Reviews-Hotel_Le_Caspien-Marrakech_Marrakech_Safi.html
90,      87. Dar Chadia,https://www.tripadvisor.com/Hotel_Review-g293734-d1949063-Reviews-Dar_Chadia-Marrakech_Marrakech_Safi.html
91,      88. Le Vizir Center Park & Resort,https://www.tripadvisor.com/Hotel_Review-g293734-d5532781-Reviews-Le_Vizir_Center_Park_Resort-Marrakech_Marrakech_Safi.html
92,      89. The Pearl Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d3360305-Reviews-The_Pearl_Marrakech-Marrakech_Marrakech_Safi.html
93,      90. Tempoo Hotel,https://www.tripadvisor.com/Hotel_Review-g293734-d7067904-Reviews-Tempoo_Hotel-Marrakech_Marrakech_Safi.html
94,      91. 72 Riad Living,https://www.tripadvisor.com/Hotel_Review-g293734-d525779-Reviews-72_Riad_Living-Marrakech_Marrakech_Safi.html
95,"      92. Mandarin Oriental, Marrakech",https://www.tripadvisor.com/Hotel_Review-g293734-d8562183-Reviews-Mandarin_Oriental_Marrakech-Marrakech_Marrakech_Safi.html
96,      93. Oasis Lodges,https://www.tripadvisor.com/Hotel_Review-g293734-d17769191-Reviews-Oasis_Lodges-Marrakech_Marrakech_Safi.html
97,      94. Riad El Zohar,https://www.tripadvisor.com/Hotel_Review-g293734-d585350-Reviews-Riad_El_Zohar-Marrakech_Marrakech_Safi.html
98,      95. Selman Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d2557585-Reviews-Selman_Marrakech-Marrakech_Marrakech_Safi.html
99,      96. Riad Mazaya,https://www.tripadvisor.com/Hotel_Review-g293734-d2104094-Reviews-Riad_Mazaya-Marrakech_Marrakech_Safi.html
100,      97. Les Borjs de la Kasbah,https://www.tripadvisor.com/Hotel_Review-g293734-d634355-Reviews-Les_Borjs_de_la_Kasbah-Marrakech_Marrakech_Safi.html
101,      98. Les Deux Tours,https://www.tripadvisor.com/Hotel_Review-g293734-d309046-Reviews-Les_Deux_Tours-Marrakech_Marrakech_Safi.html
102,      99. Riad Adore,https://www.tripadvisor.com/Hotel_Review-g293734-d1593885-Reviews-Riad_Adore-Marrakech_Marrakech_Safi.html
103,      100. Sirayane Boutique Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g293734-d1784721-Reviews-Sirayane_Boutique_Hotel_Spa-Marrakech_Marrakech_Safi.html
104,      101. Hotel Racine,https://www.tripadvisor.com/Hotel_Review-g293734-d10351177-Reviews-Hotel_Racine-Marrakech_Marrakech_Safi.html
105,      102. Riad Smara,https://www.tripadvisor.com/Hotel_Review-g293734-d1699767-Reviews-Riad_Smara-Marrakech_Marrakech_Safi.html
106,      103. Riad Reves d'Orient,https://www.tripadvisor.com/Hotel_Review-g293734-d1557836-Reviews-Riad_Reves_d_Orient-Marrakech_Marrakech_Safi.html
107,      104. Hivernage Secret Suites & Garden,https://www.tripadvisor.com/Hotel_Review-g293734-d6872610-Reviews-Hivernage_Secret_Suites_Garden-Marrakech_Marrakech_Safi.html
108,      105. Hivernage Hotel and Spa,https://www.tripadvisor.com/Hotel_Review-g293734-d557090-Reviews-Hivernage_Hotel_and_Spa-Marrakech_Marrakech_Safi.html
109,      106. Riad Africa and Spa,https://www.tripadvisor.com/Hotel_Review-g293734-d2341980-Reviews-Riad_Africa_and_Spa-Marrakech_Marrakech_Safi.html
110,      107. Riad Les Trois Palmiers El Bacha,https://www.tripadvisor.com/Hotel_Review-g293734-d640939-Reviews-Riad_Les_Trois_Palmiers_El_Bacha-Marrakech_Marrakech_Safi.html
111,      108. Riad les Orangers d'Alilia Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d1566640-Reviews-Riad_les_Orangers_d_Alilia_Marrakech-Marrakech_Marrakech_Safi.html
112,      109. Riad Alboraq,https://www.tripadvisor.com/Hotel_Review-g293734-d1450200-Reviews-Riad_Alboraq-Marrakech_Marrakech_Safi.html
113,      110. Riad Fleur D' Orient,https://www.tripadvisor.com/Hotel_Review-g293734-d2418398-Reviews-Riad_Fleur_D_Orient-Marrakech_Marrakech_Safi.html
114,      111. Le Riad Monceau,https://www.tripadvisor.com/Hotel_Review-g293734-d649304-Reviews-Le_Riad_Monceau-Marrakech_Marrakech_Safi.html
115,      112. Hotel Riad Marraplace,https://www.tripadvisor.com/Hotel_Review-g293734-d3826353-Reviews-Hotel_Riad_Marraplace-Marrakech_Marrakech_Safi.html
116,      113. Riad Maison Arabo Andalouse,https://www.tripadvisor.com/Hotel_Review-g293734-d619037-Reviews-Riad_Maison_Arabo_Andalouse-Marrakech_Marrakech_Safi.html
117,      114. Dellarosa Hotel Suites & Spa,https://www.tripadvisor.com/Hotel_Review-g293734-d1176861-Reviews-Dellarosa_Hotel_Suites_Spa-Marrakech_Marrakech_Safi.html
118,      115. Riad Catalina,https://www.tripadvisor.com/Hotel_Review-g293734-d590235-Reviews-Riad_Catalina-Marrakech_Marrakech_Safi.html
119,      116. Palais de l'O,https://www.tripadvisor.com/Hotel_Review-g293734-d3451887-Reviews-Palais_de_l_O-Marrakech_Marrakech_Safi.html
120,      117. Riad Marhbabikoum,https://www.tripadvisor.com/Hotel_Review-g293734-d1028220-Reviews-Riad_Marhbabikoum-Marrakech_Marrakech_Safi.html
121,      118. Hotel Cecil,https://www.tripadvisor.com/Hotel_Review-g293734-d1903188-Reviews-Hotel_Cecil-Marrakech_Marrakech_Safi.html
122,      119. Dar Housnia,https://www.tripadvisor.com/Hotel_Review-g293734-d1372908-Reviews-Dar_Housnia-Marrakech_Marrakech_Safi.html
123,      120. Riad Palais Des Princesses,https://www.tripadvisor.com/Hotel_Review-g293734-d1687317-Reviews-Riad_Palais_Des_Princesses-Marrakech_Marrakech_Safi.html
124,      121. Riad Miral,https://www.tripadvisor.com/Hotel_Review-g293734-d13955843-Reviews-Riad_Miral-Marrakech_Marrakech_Safi.html
